Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Adani Power Ltd,10598.00,13723.00,7044.00,7764.00,10242.00,5366.00,8003.00,6096.00,6295.00,8335.00,5232.00,5720.00,948.00,1470.00,1907.00,49%,42%,13%,19%,19%,2710.00,1786.00,1402.00,526.00,553.00,1035.00,823.00,818.00,946.00,746.00,774.00,816.00,833.00,838.00,817.00,6133.00,5866.00,699.00,212.00,898.00,24%,19%,0%,96%,-484%,4645.00,4780.00,696.00,9.00,5242.00,12.04,12.39,1.80,0.02,13.59,34.66
IndusInd Bank Ltd,7860.00,8182.00,8708.00,9457.00,10021.00,3875.00,4057.00,4406.00,4962.00,5351.00,4020.00,3911.00,3934.00,3956.00,4097.00,-35,214,368,539,572,0.00,0.03,0.04,0.06,0.06,1900.00,1929.00,2011.00,2076.00,2151.00,0.00,0.00,0.00,0.00,0.00,1865.00,2143.00,2379.00,2616.00,2723.00,27%,25%,25%,25%,25%,1361.00,1603.00,1787.00,1959.00,2041.00,17.57,20.68,23.05,25.27,26.30,27.10
Dabur India Ltd,2518.00,2822.00,2986.00,3043.00,2678.00,2065.00,2279.00,2386.00,2434.00,2268.00,452.00,543.00,600.00,609.00,410.00,18%,19%,20%,20%,15%,14.00,101.00,123.00,101.00,121.00,12.00,12.00,15.00,19.00,32.00,65.00,68.00,70.00,71.00,102.00,390.00,564.00,638.00,620.00,396.00,24%,22%,23%,23%,26%,294.00,441.00,491.00,477.00,293.00,1.66,2.49,2.77,2.69,1.70,6.14
Eicher Motors Ltd,3193.00,3397.00,3519.00,3721.00,3804.00,2436.00,2566.00,2698.00,2864.00,2871.00,757.00,831.00,822.00,857.00,934.00,24%,24%,23%,23%,25%,172.00,82.00,193.00,256.00,379.00,3.00,5.00,7.00,8.00,8.00,119.00,116.00,127.00,135.00,148.00,806.00,792.00,880.00,971.00,1156.00,24%,23%,25%,24%,22%,610.00,611.00,657.00,741.00,906.00,22.31,22.33,24.02,27.09,33.11,18.83
Bank of Baroda,19097.00,19984.00,22344.00,24733.00,27077.00,9956.00,10496.00,11495.00,13161.00,14790.00,10505.00,8210.00,10408.00,11012.00,10642.00,"-1,363","1,279",441,560,"1,645",-0.07,0.06,0.02,0.02,0.06,3373.00,1592.00,3977.00,5619.00,5451.00,0.00,0.00,0.00,0.00,0.00,2010.00,2871.00,4418.00,6179.00,7096.00,6%,26%,26%,33%,28%,2053.00,1942.00,3392.00,4356.00,5315.00,3.93,3.76,6.58,8.33,10.16,14.59
Hindalco Industries Ltd,55764.00,58018.00,56176.00,53151.00,55857.00,48460.00,49589.00,50814.00,49603.00,50530.00,7304.00,8429.00,5362.00,3548.00,5327.00,13%,15%,10%,7%,10%,34.00,255.00,330.00,368.00,354.00,805.00,847.00,879.00,934.00,986.00,1761.00,1749.00,1713.00,1768.00,1856.00,4772.00,6088.00,3100.00,1214.00,2839.00,19%,32%,29%,-12%,15%,3851.00,4119.00,2205.00,1362.00,2411.00,17.14,18.33,9.81,6.06,10.73,6.64
Divis Laboratories Ltd,2518.00,2255.00,1855.00,1708.00,1951.00,1414.00,1408.00,1234.00,1299.00,1463.00,1104.00,847.00,621.00,408.00,488.00,44%,38%,33%,24%,25%,52.00,88.00,80.00,114.00,66.00,0.00,0.00,0.00,0.00,0.00,81.00,84.00,86.00,87.00,87.00,1076.00,851.00,615.00,436.00,466.00,17%,18%,20%,30%,31%,895.00,702.00,494.00,307.00,321.00,33.70,26.44,18.59,11.56,12.09,28.28
Shree Cement Ltd,4099.00,4203.00,3781.00,4069.00,4785.00,3188.00,3384.00,3258.00,3361.00,3893.00,911.00,819.00,523.00,708.00,892.00,22%,19%,14%,17%,19%,138.00,-22.00,157.00,161.00,135.00,54.00,57.00,68.00,71.00,73.00,301.00,328.00,363.00,414.00,442.00,694.00,412.00,249.00,384.00,513.00,7%,23%,24%,28%,-6%,645.00,316.00,190.00,277.00,546.00,178.82,87.46,52.55,76.71,151.39,3.91
Interglobe Aviation Ltd,8021.00,12855.00,12498.00,14933.00,14161.00,7985.00,12258.00,12472.00,11819.00,11412.00,36.00,597.00,25.00,3114.00,2748.00,0%,5%,0%,21%,19%,186.00,163.00,354.00,476.00,438.00,633.00,657.00,728.00,829.00,918.00,1269.00,1170.00,1237.00,1342.00,1352.00,-1680.00,-1065.00,-1585.00,1418.00,916.00,0%,0%,0%,0%,0%,-1680.00,-1065.00,-1585.00,1418.00,916.00,-43.60,-27.65,-41.14,36.79,23.76,76.55
Adani Transmission Ltd,2975.00,3132.00,3251.00,3552.00,3358.00,2029.00,2459.00,2088.00,2074.00,2154.00,945.00,673.00,1164.00,1478.00,1203.00,32%,22%,36%,42%,36%,436.00,653.00,198.00,230.00,502.00,650.00,740.00,714.00,697.00,630.00,370.00,384.00,398.00,410.00,416.00,362.00,202.00,250.00,600.00,660.00,35%,17%,22%,20%,33%,237.00,168.00,194.00,478.00,440.00,2.09,1.67,1.85,4.26,3.49,-20.31
Bharat Electronics Ltd,6340.00,3141.00,3962.00,4153.00,6479.00,4762.00,2618.00,3093.00,3290.00,4647.00,1578.00,522.00,868.00,863.00,1832.00,25%,17%,22%,21%,28%,64.00,82.00,74.00,59.00,66.00,4.00,1.00,2.00,10.00,2.00,106.00,99.00,109.00,106.00,114.00,1531.00,504.00,831.00,806.00,1782.00,25%,29%,26%,25%,23%,1155.00,366.00,624.00,614.00,1382.00,1.58,0.50,0.85,0.84,1.89,30.57
Cholamandalam Investment & Finance Company Ltd,2605.00,2770.00,3017.00,3356.00,3741.00,1071.00,1130.00,1340.00,1543.00,1734.00,630.00,879.00,940.00,912.00,902.00,904,760,736,901,"1,105",0.35,0.27,0.24,0.27,0.30,52.00,26.00,50.00,52.00,93.00,28.00,28.00,28.00,30.00,36.00,927.00,759.00,759.00,923.00,1163.00,26%,26%,26%,26%,26%,687.00,562.00,563.00,685.00,855.00,8.36,6.84,6.85,8.33,10.40,45.72
Ambuja Cements Ltd,7900.00,8033.00,7143.00,7907.00,7966.00,6476.00,6918.00,6809.00,6885.00,6727.00,1424.00,1115.00,334.00,1021.00,1239.00,18%,14%,5%,13%,16%,97.00,139.00,75.00,-18.00,142.00,32.00,40.00,41.00,43.00,39.00,306.00,319.00,331.00,337.00,352.00,1183.00,895.00,39.00,623.00,989.00,28%,3%,-33%,22%,23%,856.00,865.00,51.00,488.00,763.00,3.32,3.79,0.47,2.19,3.25,21.11
ABB India Ltd,1968.00,2053.00,2120.00,2427.00,2411.00,1780.00,1854.00,1909.00,2063.00,2126.00,188.00,199.00,211.00,364.00,285.00,10%,10%,10%,15%,12%,334.00,19.00,88.00,69.00,72.00,1.00,3.00,2.00,7.00,2.00,26.00,25.00,27.00,27.00,27.00,494.00,189.00,270.00,400.00,328.00,25%,26%,27%,24%,25%,373.00,140.00,198.00,305.00,245.00,17.61,6.62,9.32,14.41,11.56,30.22
SBI Cards & Payment Services Ltd,2850.00,3100.00,3297.00,3507.00,3762.00,267.00,308.00,368.00,464.00,507.00,1930.00,2074.00,2341.00,2467.00,2565.00,653,718,588,576,690,0.23,0.23,0.18,0.16,0.18,166.00,163.00,156.00,149.00,154.00,39.00,39.00,39.00,41.00,45.00,779.00,841.00,706.00,684.00,800.00,25%,25%,26%,26%,25%,581.00,627.00,526.00,509.00,596.00,6.16,6.65,5.57,5.39,6.30,26.07
Havells India Ltd,4426.00,4244.00,3679.00,4128.00,4859.00,3906.00,3883.00,3393.00,3704.00,4332.00,520.00,362.00,287.00,424.00,527.00,12%,9%,8%,10%,11%,44.00,48.00,44.00,40.00,47.00,19.00,10.00,7.00,7.00,10.00,71.00,72.00,72.00,75.00,77.00,474.00,327.00,252.00,381.00,487.00,26%,26%,26%,26%,26%,352.00,243.00,187.00,284.00,358.00,5.63,3.88,2.98,4.53,5.71,13.59
Dr Reddys Laboratories Ltd,5475.00,5233.00,6332.00,6790.00,6315.00,5024.00,4292.00,4433.00,4851.00,4781.00,451.00,941.00,1899.00,1939.00,1534.00,8%,18%,30%,29%,24%,132.00,863.00,55.00,65.00,146.00,32.00,35.00,31.00,42.00,35.00,293.00,302.00,309.00,324.00,316.00,259.00,1468.00,1614.00,1638.00,1329.00,63%,19%,31%,24%,28%,97.00,1189.00,1114.00,1244.00,960.00,5.83,71.44,66.93,74.70,57.65,8.28
Bharat Petroleum Corporation Ltd,104080.00,121082.00,114820.00,119170.00,118115.00,98126.00,126906.00,113406.00,114957.00,107031.00,5954.00,-5824.00,1415.00,4213.00,11085.00,6%,-5%,1%,4%,9%,1131.00,615.00,673.00,415.00,344.00,752.00,710.00,937.00,1128.00,970.00,1603.00,1617.00,1561.00,1586.00,1605.00,4730.00,-7537.00,-410.00,1913.00,8854.00,41%,18%,17%,9%,22%,2803.00,-6148.00,-338.00,1747.00,6870.00,12.92,-28.34,-1.56,8.05,31.67,7.83
Cipla Ltd,5260.00,5375.00,5829.00,5810.00,5739.00,4511.00,4232.00,4526.00,4403.00,4566.00,750.00,1143.00,1302.00,1408.00,1174.00,14%,21%,22%,24%,20%,7.00,103.00,123.00,114.00,-48.00,18.00,18.00,26.00,32.00,34.00,290.00,254.00,299.00,272.00,346.00,448.00,975.00,1100.00,1218.00,745.00,16%,28%,28%,34%,30%,371.00,706.00,797.00,808.00,522.00,4.49,8.51,9.78,9.92,6.51,14.20
Tata Consumer Products Ltd,3175.00,3327.00,3363.00,3475.00,3619.00,2731.00,2870.00,2929.00,3021.00,3107.00,444.00,457.00,434.00,454.00,512.00,14%,14%,13%,13%,14%,29.00,11.00,141.00,128.00,49.00,16.00,16.00,20.00,24.00,28.00,72.00,73.00,73.00,75.00,83.00,385.00,379.00,482.00,482.00,450.00,25%,27%,26%,23%,23%,239.00,277.00,389.00,364.00,290.00,2.36,2.77,3.56,3.79,2.89,22.49
ICICI Prudential Life Insurance Company Ltd,13003.00,-1611.00,22605.00,17426.00,10984.00,13701.00,-1483.00,22869.00,17502.00,11400.00,-698.00,-128.00,-264.00,-76.00,-416.00,-5%,,-1%,0%,-4%,1013.00,328.00,507.00,352.00,780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.00,201.00,243.00,277.00,364.00,41%,22%,18%,20%,35%,187.00,157.00,200.00,222.00,235.00,1.30,1.09,1.39,1.54,1.64,26.26
Bajaj Holdings & Investment Ltd,89.00,91.00,188.00,98.00,87.00,33.00,37.00,37.00,37.00,32.00,57.00,54.00,151.00,62.00,55.00,64%,60%,81%,63%,63%,1074.00,938.00,1214.00,1252.00,1326.00,1.00,1.00,1.00,1.00,5.00,8.00,8.00,8.00,8.00,8.00,1122.00,984.00,1356.00,1305.00,1368.00,1%,1%,1%,1%,1%,1106.00,970.00,1336.00,1287.00,1353.00,99.32,87.10,111.67,115.52,121.55,16.74
Apollo Hospitals Enterprise Ltd,3546.00,3796.00,4251.00,4264.00,4302.00,3083.00,3317.00,3699.00,3780.00,3814.00,463.00,479.00,552.00,484.00,488.00,13%,13%,13%,11%,11%,34.00,16.00,23.00,35.00,20.00,95.00,93.00,93.00,100.00,95.00,166.00,148.00,155.00,153.00,159.00,236.00,254.00,327.00,266.00,254.00,59%,-27%,35%,39%,43%,97.00,324.00,213.00,162.00,146.00,6.27,22.05,14.19,10.67,10.05,20.07
Adani Total Gas Ltd,1012.00,1042.00,1116.00,1106.00,1115.00,881.00,824.00,889.00,876.00,920.00,131.00,219.00,226.00,230.00,195.00,13%,21%,20%,21%,18%,10.00,9.00,10.00,8.00,9.00,15.00,19.00,21.00,6.00,32.00,22.00,24.00,27.00,31.00,31.00,104.00,185.00,188.00,201.00,142.00,27%,26%,26%,26%,27%,81.00,138.00,160.00,150.00,98.00,0.74,1.26,1.45,1.37,0.89,-25.47
Marico Ltd,2161.00,2558.00,2496.00,2470.00,2240.00,1815.00,2030.00,2063.00,2014.00,1847.00,346.00,528.00,433.00,456.00,393.00,16%,21%,17%,18%,18%,24.00,17.00,19.00,40.00,68.00,11.00,10.00,15.00,14.00,17.00,37.00,36.00,37.00,39.00,43.00,322.00,499.00,400.00,443.00,401.00,20%,24%,23%,25%,24%,257.00,377.00,307.00,333.00,305.00,1.94,2.87,2.33,2.54,2.34,12.20
Tata Power Company Ltd,11960.00,14495.00,14031.00,14129.00,12454.00,10091.00,12812.00,12270.00,11810.00,10526.00,1869.00,1683.00,1760.00,2319.00,1928.00,16%,12%,13%,16%,15%,62.00,1227.00,1502.00,1497.00,1352.00,1015.00,1026.00,1052.00,1098.00,1196.00,846.00,822.00,838.00,853.00,926.00,71.00,1062.00,1373.00,1864.00,1158.00,-794%,17%,32%,44%,19%,632.00,884.00,935.00,1052.00,939.00,1.57,2.49,2.56,2.96,2.43,7.53
SRF Ltd,3549.00,3895.00,3728.00,3470.00,3778.00,2601.00,2900.00,2959.00,2636.00,2846.00,948.00,995.00,769.00,834.00,932.00,27%,26%,21%,24%,25%,7.00,10.00,33.00,10.00,22.00,36.00,32.00,44.00,62.00,66.00,132.00,131.00,139.00,151.00,155.00,788.00,842.00,618.00,631.00,733.00,23%,28%,22%,19%,23%,606.00,608.00,481.00,511.00,562.00,20.43,20.51,16.23,17.24,18.97,2.58
GAIL (India) Ltd,27328.00,37897.00,38680.00,35940.00,33264.00,23064.00,33350.00,36777.00,35458.00,32708.00,4264.00,4547.00,1904.00,482.00,556.00,16%,12%,5%,1%,2%,788.00,419.00,548.00,999.00,871.00,57.00,58.00,82.00,120.00,107.00,619.00,677.00,695.00,699.00,631.00,4375.00,4230.00,1675.00,662.00,689.00,21%,23%,22%,40%,7%,3474.00,3251.00,1305.00,398.00,643.00,5.19,4.95,2.00,0.63,0.96,-2.72
United Spirits Ltd,2536.00,2419.00,2911.00,2779.00,2503.00,2104.00,2047.00,2474.00,2407.00,2268.00,432.00,372.00,437.00,372.00,235.00,17%,15%,15%,13%,9%,-97.00,-12.00,389.00,-127.00,0.00,16.00,22.00,21.00,24.00,36.00,77.00,83.00,66.00,65.00,69.00,241.00,254.00,739.00,155.00,130.00,26%,-3%,26%,-38%,21%,179.00,261.00,548.00,214.00,103.00,2.50,3.66,7.61,2.95,1.41,16.27
Berger Paints India Ltd,2188.00,2760.00,2671.00,2694.00,2444.00,1841.00,2355.00,2307.00,2344.00,2097.00,346.00,405.00,364.00,350.00,347.00,16%,15%,14%,13%,14%,24.00,17.00,16.00,13.00,15.00,15.00,16.00,24.00,30.00,29.00,60.00,63.00,62.00,64.00,74.00,296.00,342.00,293.00,269.00,258.00,26%,26%,25%,25%,28%,220.00,254.00,220.00,201.00,186.00,2.27,2.61,2.26,2.07,1.91,14.04
Zomato Ltd,1212.00,1414.00,1661.00,1948.00,2056.00,1662.00,1722.00,1973.00,2314.00,2281.00,-450.00,-308.00,-311.00,-366.00,-225.00,-37%,-22%,-19%,-19%,-11%,130.00,168.00,170.00,173.00,171.00,2.00,5.00,12.00,16.00,16.00,38.00,42.00,107.00,155.00,134.00,-359.00,-186.00,-260.00,-364.00,-204.00,0%,0%,4%,5%,8%,-360.00,-186.00,-251.00,-347.00,-188.00,-0.46,-0.24,-0.29,-0.41,-0.22,69.66
TVS Motor Company Ltd,6585.00,7316.00,8561.00,8066.00,8031.00,5760.00,6420.00,7490.00,7055.00,6982.00,826.00,896.00,1071.00,1011.00,1049.00,13%,12%,13%,13%,13%,12.00,31.00,30.00,8.00,67.00,263.00,292.00,338.00,339.00,398.00,207.00,199.00,212.00,216.00,232.00,368.00,436.00,550.00,464.00,486.00,25%,32%,32%,35%,31%,275.00,297.00,373.00,304.00,336.00,5.84,6.43,8.13,6.33,7.07,27.32
Torrent Pharmaceuticals Ltd,2131.00,2347.00,2291.00,2491.00,2491.00,1570.00,1635.00,1612.00,1767.00,1764.00,561.00,712.00,679.00,724.00,727.00,26%,30%,30%,29%,29%,-429.00,30.00,16.00,-10.00,9.00,57.00,55.00,69.00,102.00,107.00,162.00,155.00,163.00,193.00,196.00,-87.00,532.00,463.00,419.00,433.00,-36%,33%,33%,30%,34%,-118.00,354.00,312.00,292.00,287.00,-3.49,10.46,9.22,8.63,8.48,19.90
ICICI Lombard General Insurance Company Ltd,4020.00,4129.00,4669.00,4559.00,4519.00,4391.00,3684.00,4095.00,4105.00,4874.00,-371.00,445.00,574.00,454.00,-355.00,-9%,11%,12%,10%,-8%,781.00,20.00,36.00,11.00,928.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,410.00,465.00,610.00,465.00,573.00,24%,25%,3%,24%,24%,313.00,349.00,591.00,353.00,437.00,6.37,7.11,12.02,7.18,8.90,12.92
Trent Ltd,1329.00,1803.00,1953.00,2303.00,2183.00,1204.00,1512.00,1697.00,1980.00,1980.00,125.00,292.00,256.00,323.00,203.00,9%,16%,13%,14%,9%,44.00,78.00,84.00,91.00,89.00,81.00,95.00,91.00,91.00,92.00,89.00,127.00,112.00,118.00,137.00,-1.00,147.00,137.00,204.00,64.00,-1530%,22%,42%,24%,29%,-21.00,115.00,79.00,155.00,45.00,0.00,3.67,2.62,4.70,1.52,24.25
Macrotech Developers Ltd,3445.00,2676.00,1765.00,1774.00,3255.00,2539.00,2210.00,1343.00,1370.00,2487.00,906.00,466.00,422.00,404.00,769.00,26%,17%,24%,23%,24%,37.00,0.00,-1182.00,129.00,16.00,122.00,119.00,125.00,118.00,117.00,19.00,20.00,22.00,22.00,30.00,802.00,327.00,-906.00,393.00,638.00,33%,17%,-3%,-3%,-17%,538.00,271.00,-933.00,405.00,746.00,5.56,2.81,-9.69,4.20,7.72,45.24
P I Industries Ltd,1395.00,1543.00,1770.00,1613.00,1566.00,1090.00,1191.00,1338.00,1198.00,1223.00,305.00,352.00,432.00,415.00,343.00,22%,23%,24%,26%,22%,21.00,32.00,33.00,51.00,51.00,3.00,14.00,11.00,9.00,3.00,54.00,56.00,56.00,57.00,58.00,269.00,314.00,398.00,400.00,332.00,24%,16%,16%,12%,16%,204.00,262.00,335.00,352.00,281.00,13.47,17.30,22.07,23.19,18.49,29.35
Tube Investments of India Ltd,3393.00,3799.00,3789.00,3643.00,3778.00,3042.00,3396.00,3273.00,3174.00,3287.00,351.00,403.00,516.00,469.00,491.00,10%,11%,14%,13%,13%,37.00,24.00,6.00,95.00,187.00,20.00,9.00,11.00,11.00,11.00,76.00,86.00,94.00,95.00,124.00,292.00,332.00,417.00,460.00,542.00,23%,26%,34%,29%,12%,225.00,247.00,277.00,324.00,477.00,9.27,10.08,11.08,12.19,16.15,16.79
IDBI Bank Ltd,4608.00,4639.00,4994.00,5230.00,5729.00,2175.00,2144.00,2238.00,2304.00,2445.00,2463.00,2571.00,2430.00,2563.00,3167.00,-30,-77,326,363,118,-0.01,-0.02,0.07,0.07,0.02,923.00,1190.00,1058.00,923.00,1404.00,0.00,0.00,0.00,0.00,0.00,893.00,1114.00,1384.00,1286.00,1521.00,18%,31%,45%,27%,21%,740.00,773.00,782.00,950.00,1223.00,0.68,0.71,0.72,0.88,1.13,14.56
Punjab National Bank,19090.00,19144.00,20588.00,22808.00,24305.00,11497.00,11443.00,12172.00,13513.00,14690.00,9384.00,9523.00,10493.00,11578.00,10813.00,"-1,791","-1,822","-2,077","-2,282","-1,197",-0.09,-0.10,-0.10,-0.10,-0.05,2261.00,2384.00,2704.00,3325.00,3827.00,0.00,0.00,0.00,0.00,0.00,470.00,562.00,626.00,1043.00,2630.00,48%,46%,42%,37%,34%,348.00,271.00,496.00,715.00,1876.00,0.31,0.26,0.45,0.64,1.69,5.11
Max Healthcare Institute Ltd,937.00,1066.00,1137.00,1142.00,1215.00,729.00,802.00,818.00,828.00,874.00,209.00,264.00,319.00,314.00,340.00,22%,25%,28%,28%,28%,26.00,32.00,26.00,45.00,40.00,22.00,22.00,22.00,20.00,20.00,58.00,57.00,58.00,57.00,60.00,154.00,216.00,265.00,281.00,301.00,20%,20%,-72%,21%,17%,124.00,173.00,457.00,222.00,251.00,1.28,1.78,4.72,2.29,2.58,27.16
Indian Hotels Co Ltd,872.00,1266.00,1233.00,1686.00,1625.00,713.00,888.00,939.00,1089.00,1090.00,159.00,378.00,294.00,597.00,535.00,18%,30%,24%,35%,33%,99.00,18.00,37.00,58.00,29.00,79.00,62.00,60.00,57.00,57.00,102.00,103.00,103.00,103.00,108.00,77.00,231.00,169.00,495.00,400.00,-3%,28%,26%,23%,24%,72.00,181.00,130.00,404.00,339.00,0.52,1.20,0.86,2.69,2.31,22.25
CG Power & Industrial Solutions Ltd,1485.00,1665.00,1696.00,1752.00,1903.00,1319.00,1473.00,1437.00,1475.00,1627.00,166.00,192.00,260.00,277.00,275.00,11%,12%,15%,16%,14%,12.00,10.00,11.00,60.00,199.00,17.00,5.00,5.00,4.00,2.00,23.00,24.00,25.00,23.00,25.00,139.00,173.00,241.00,310.00,447.00,20%,25%,26%,26%,5%,112.00,130.00,179.00,228.00,426.00,0.77,0.85,1.17,1.49,2.79,30.83
Info Edge (India) Ltd,473.00,547.00,604.00,590.00,605.00,402.00,519.00,558.00,435.00,497.00,71.00,29.00,47.00,155.00,107.00,15%,5%,8%,26%,18%,701.00,327.00,123.00,-34.00,-533.00,1.00,1.00,3.00,1.00,1.00,12.00,15.00,17.00,20.00,20.00,760.00,339.00,149.00,99.00,-447.00,5%,14%,37%,53%,-13%,720.00,292.00,94.00,46.00,-503.00,48.83,13.87,7.99,-9.02,-21.12,23.81
Hero MotoCorp Ltd,7497.00,8448.00,9158.00,8118.00,8434.00,6661.00,7527.00,8096.00,7177.00,7345.00,836.00,920.00,1062.00,942.00,1089.00,11%,11%,12%,12%,13%,131.00,56.00,94.00,265.00,238.00,13.00,14.00,48.00,24.00,19.00,168.00,173.00,173.00,172.00,180.00,786.00,789.00,936.00,1011.00,1128.00,21%,26%,27%,29%,28%,621.00,586.00,682.00,721.00,811.00,30.60,29.55,34.45,36.33,40.29,20.72
Samvardhana Motherson International Ltd,17241.00,17615.00,18261.00,20267.00,22477.00,15985.00,16538.00,16864.00,18665.00,20481.00,1256.00,1077.00,1396.00,1602.00,1996.00,7%,6%,8%,8%,9%,37.00,99.00,-4.00,80.00,75.00,161.00,169.00,184.00,149.00,278.00,736.00,732.00,749.00,815.00,840.00,396.00,274.00,460.00,718.00,953.00,67%,34%,37%,30%,27%,130.00,182.00,288.00,501.00,699.00,0.18,0.21,0.36,0.67,0.97,21.17
One 97 Communications Ltd,1073.00,1245.00,1404.00,1574.00,1804.00,1773.00,1877.00,1974.00,1932.00,1945.00,-700.00,-632.00,-570.00,-358.00,-141.00,-65%,-51%,-41%,-23%,-8%,108.00,101.00,86.00,47.00,102.00,7.00,5.00,5.00,5.00,6.00,90.00,93.00,100.00,120.00,158.00,-689.00,-628.00,-589.00,-436.00,-203.00,0%,0%,0%,0%,0%,-689.00,-628.00,-589.00,-436.00,-203.00,-10.63,-9.68,-9.07,-6.71,-3.21,68.11
Zydus Lifesciences Ltd,3806.00,4073.00,4135.00,4257.00,5011.00,3088.00,3240.00,3319.00,3301.00,3755.00,718.00,833.00,815.00,956.00,1256.00,19%,20%,20%,22%,25%,64.00,55.00,50.00,39.00,-566.00,38.00,34.00,35.00,33.00,28.00,185.00,181.00,182.00,182.00,179.00,558.00,673.00,648.00,780.00,484.00,20%,18%,21%,25%,28%,453.00,576.00,526.00,631.00,358.00,3.88,5.06,5.16,6.15,2.93,15.04
Bosch Ltd,3311.00,3544.00,3662.00,3660.00,4063.00,2870.00,3095.00,3230.00,3256.00,3541.00,441.00,450.00,431.00,404.00,522.00,13%,13%,12%,11%,13%,87.00,57.00,150.00,131.00,136.00,7.00,4.00,2.00,2.00,5.00,89.00,65.00,92.00,108.00,121.00,432.00,438.00,487.00,425.00,533.00,19%,24%,24%,25%,25%,351.00,334.00,372.00,319.00,399.00,118.87,113.31,126.26,108.13,135.28,5.03
Jindal Steel & Power Ltd,14339.00,13045.00,13521.00,12452.00,13692.00,11270.00,9607.00,11590.00,10075.00,11505.00,3070.00,3439.00,1931.00,2377.00,2187.00,21%,26%,14%,19%,16%,276.00,866.00,-898.00,-361.00,-138.00,373.00,364.00,365.00,346.00,371.00,272.00,596.00,614.00,608.00,873.00,2701.00,3344.00,54.00,1062.00,805.00,18%,17%,-304%,51%,42%,2207.00,2771.00,219.00,518.00,466.00,14.81,19.54,1.96,5.08,4.53,-6.12
Canara Bank,18227.00,18537.00,20482.00,22561.00,24304.00,10856.00,11396.00,12681.00,13622.00,15292.00,10824.00,9382.00,11326.00,10831.00,12253.00,"-3,453","-2,241","-3,525","-1,891","-3,241",-0.19,-0.12,-0.17,-0.08,-0.13,6292.00,5202.00,6876.00,5777.00,7470.00,0.00,0.00,0.00,0.00,0.00,2839.00,2961.00,3351.00,3886.00,4229.00,31%,30%,23%,25%,24%,2061.00,2193.00,2730.00,3058.00,3364.00,10.58,12.02,14.91,16.72,18.39,5.34
Adani Wilmar Ltd,14230.00,14017.00,13410.00,14714.00,13122.00,13816.00,13620.00,13152.00,14091.00,12782.00,414.00,396.00,258.00,623.00,339.00,3%,3%,2%,4%,3%,61.00,51.00,58.00,76.00,71.00,101.00,144.00,151.00,237.00,197.00,75.00,77.00,81.00,81.00,81.00,299.00,227.00,85.00,381.00,132.00,25%,25%,27%,27%,26%,223.00,170.00,62.00,277.00,98.00,1.72,1.31,0.48,2.13,0.75,0.82
IDFC First Bank Ltd,4554.00,4922.00,5470.00,5912.00,6424.00,1884.00,2170.00,2467.00,2626.00,2827.00,3031.00,2957.00,3304.00,3612.00,3901.00,-361,-205,-301,-326,-303,-0.08,-0.04,-0.06,-0.06,-0.05,831.00,856.00,1061.00,1152.00,1398.00,0.00,0.00,0.00,0.00,0.00,470.00,650.00,760.00,827.00,1094.00,25%,25%,25%,25%,25%,352.00,485.00,567.00,617.00,816.00,0.57,0.78,0.91,0.99,1.23,43.12
Polycab India Ltd,3970.00,2737.00,3332.00,3715.00,4324.00,3494.00,2427.00,2906.00,3212.00,3721.00,476.00,310.00,427.00,503.00,603.00,12%,11%,13%,14%,14%,17.00,44.00,-2.00,40.00,52.00,13.00,8.00,14.00,9.00,28.00,50.00,51.00,52.00,52.00,53.00,430.00,295.00,358.00,481.00,573.00,24%,24%,25%,25%,25%,325.00,223.00,270.00,361.00,428.00,21.56,14.69,17.89,23.89,28.36,23.39
